"","season","team.home","team.alien","diff.score"
"1",2015,1101,1223,12
"2",2015,1223,1101,16
"3",2015,1101,1230,-16
"4",2015,1230,1101,12
"5",2015,1101,1358,-17
"6",2015,1358,1101,22
"7",2015,1101,1368,-13
"8",2015,1368,1101,1
"9",2015,1101,1394,-23
"10",2015,1394,1101,31
"11",2015,1102,1129,-9
"12",2015,1129,1102,25
"13",2015,1102,1161,-5
"14",2015,1161,1102,13
"15",2015,1102,1305,5
"16",2015,1305,1102,18
"17",2015,1102,1307,4
"18",2015,1307,1102,12
"19",2015,1361,1102,4
"20",2015,1102,1361,-32
"21",2015,1102,1363,22
"22",2015,1363,1102,-14
"23",2015,1102,1424,1
"24",2015,1424,1102,11
"25",2015,1429,1102,12
"26",2015,1102,1429,-14
"27",2015,1103,1132,17
"28",2015,1132,1103,-1
"29",2015,1103,1138,3
"30",2015,1138,1103,5
"31",2015,1103,1245,9
"32",2015,1245,1103,2
"33",2015,1103,1275,-5
"34",2015,1275,1103,7
"35",2015,1103,1296,24
"36",2015,1296,1103,3
"37",2015,1103,1325,12
"38",2015,1325,1103,1
"39",2015,1405,1103,17
"40",2015,1103,1405,-2
"41",2015,1103,1444,20
"42",2015,1444,1103,-2
"43",2015,1104,1120,2
"44",2015,1120,1104,-11
"45",2015,1104,1246,-22
"46",2015,1246,1104,15
"47",2015,1104,1376,8
"48",2015,1376,1104,2
"49",2015,1104,1401,21
"50",2015,1401,1104,-1
"51",2015,1104,1435,-8
"52",2015,1435,1104,7
"53",2015,1106,1105,-9
"54",2015,1105,1106,-3
"55",2015,1105,1108,12
"56",2015,1108,1105,-4
"57",2015,1115,1105,-3
"58",2015,1105,1115,-11
"59",2015,1105,1212,21
"60",2015,1212,1105,-4
"61",2015,1105,1238,-3
"62",2015,1238,1105,18
"63",2015,1290,1105,-13
"64",2015,1105,1290,6
"65",2015,1341,1105,26
"66",2015,1105,1341,-3
"67",2015,1105,1380,-7
"68",2015,1380,1105,9
"69",2015,1411,1105,3
"70",2015,1105,1411,-2
"71",2015,1106,1108,24
"72",2015,1108,1106,-4
"73",2015,1115,1106,-3
"74",2015,1106,1115,18
"75",2015,1106,1212,21
"76",2015,1212,1106,-32
"77",2015,1106,1238,20
"78",2015,1238,1106,-20
"79",2015,1290,1106,-12
"80",2015,1106,1290,8
"81",2015,1341,1106,-2
"82",2015,1106,1341,-2
"83",2015,1106,1380,4
"84",2015,1380,1106,-2
"85",2015,1411,1106,15
"86",2015,1106,1411,-9
"87",2015,1107,1127,15
"88",2015,1127,1107,-16
"89",2015,1216,1107,-9
"90",2015,1107,1216,6
"91",2015,1262,1107,-13
"92",2015,1107,1262,10
"93",2015,1107,1312,17
"94",2015,1312,1107,-6
"95",2015,1107,1420,14
"96",2015,1420,1107,-18
"97",2015,1436,1107,-3
"98",2015,1107,1436,6
"99",2015,1108,1115,-5
"100",2015,1115,1108,4
"101",2015,1212,1108,-2
"102",2015,1108,1212,14
"103",2015,1238,1108,10
"104",2015,1108,1238,-3
"105",2015,1108,1290,20
"106",2015,1290,1108,16
"107",2015,1108,1341,6
"108",2015,1341,1108,3
"109",2015,1108,1380,-9
"110",2015,1380,1108,8
"111",2015,1108,1411,-17
"112",2015,1411,1108,21
"113",2015,1110,1119,-2
"114",2015,1119,1110,9
"115",2015,1131,1110,5
"116",2015,1110,1131,-8
"117",2015,1137,1110,10
"118",2015,1110,1137,-2
"119",2015,1110,1221,4
"120",2015,1221,1110,-7
"121",2015,1110,1259,15
"122",2015,1259,1110,3
"123",2015,1110,1298,19
"124",2015,1298,1110,10
"125",2015,1114,1111,18
"126",2015,1111,1114,-5
"127",2015,1117,1111,-1
"128",2015,1111,1117,-9
"129",2015,1204,1111,37
"130",2015,1111,1204,-19
"131",2015,1111,1209,5
"132",2015,1209,1111,44
"133",2015,1111,1375,11
"134",2015,1375,1111,9
"135",2015,1402,1111,-6
"136",2015,1111,1402,3
"137",2015,1407,1111,-5
"138",2015,1111,1407,3
"139",2015,1111,1418,-16
"140",2015,1418,1111,15
"141",2015,1111,1419,23
"142",2015,1419,1111,11
"143",2015,1111,1426,12
"144",2015,1426,1111,13
"145",2015,1112,1113,24
"146",2015,1113,1112,3
"147",2015,1143,1112,-23
"148",2015,1112,1143,39
