"","season","daynum","wteam","wscore","lteam","lscore","wloc","numot","wfgm","wfga","wfgm3","wfga3","wftm","wfta","wor","wdr","wast","wto","wstl","wblk","wpf","lfgm","lfga","lfgm3","lfga3","lftm","lfta","lor","ldr","last","lto","lstl","lblk","lpf"
"1",2015,120,1101,83,1223,71,"H",0,34,56,7,14,8,9,3,13,20,6,8,2,20,28,48,4,13,11,19,12,25,11,17,3,2,14
"2",2015,91,1223,77,1101,61,"H",0,33,59,4,15,7,9,11,25,20,16,6,5,19,24,59,4,16,9,12,10,13,9,14,9,0,15
"3",2015,82,1230,77,1101,61,"A",0,29,50,6,13,13,20,7,21,12,12,6,2,15,22,45,4,16,13,21,5,13,12,14,7,4,20
"4",2015,122,1230,64,1101,52,"H",0,24,49,3,13,13,17,5,32,13,13,2,2,13,19,61,3,15,11,12,7,23,6,7,5,0,19
"5",2015,84,1358,80,1101,63,"A",0,26,52,12,26,16,21,9,23,14,9,4,2,20,23,43,8,16,9,21,4,13,17,12,3,1,23
"6",2015,105,1358,71,1101,49,"H",0,22,58,5,25,22,28,17,22,16,7,8,3,19,18,39,7,17,6,12,4,9,12,18,2,1,23
"7",2015,96,1368,65,1101,52,"A",0,25,51,6,17,9,14,9,25,16,13,7,3,10,20,58,9,26,3,4,8,19,10,11,4,2,14
"8",2015,110,1368,55,1101,54,"H",0,21,40,2,9,11,19,4,16,7,17,7,5,17,18,41,6,15,12,16,5,19,9,19,6,0,21
"9",2015,113,1394,67,1101,44,"A",0,19,42,5,12,24,35,8,25,10,12,9,3,13,17,48,5,15,5,7,3,13,9,14,6,0,26
"10",2015,124,1394,58,1101,27,"H",0,19,44,5,19,15,22,6,33,8,9,9,7,10,9,48,2,20,7,9,7,25,7,13,3,0,16
"11",2015,82,1129,77,1102,68,"A",0,26,45,14,22,11,14,4,15,19,9,8,1,13,28,51,6,18,6,7,8,21,17,11,4,1,16
"12",2015,100,1129,67,1102,42,"H",0,23,50,10,27,11,12,6,25,15,10,7,3,16,17,41,4,16,4,14,5,17,9,14,4,0,15
"13",2015,68,1161,92,1102,87,"A",0,30,57,8,26,24,36,10,29,20,11,1,3,15,30,63,16,35,11,19,8,20,25,5,5,1,23
"14",2015,110,1161,66,1102,53,"H",0,23,53,8,22,12,16,10,25,14,15,8,8,14,22,51,7,16,2,7,3,12,14,15,8,1,20
"15",2015,114,1102,75,1305,70,"H",0,23,43,6,12,23,33,7,21,18,14,5,3,21,24,52,8,18,14,32,16,26,12,16,12,4,31
"16",2015,61,1305,80,1102,62,"H",0,24,50,7,23,25,35,16,18,18,10,6,1,18,23,50,6,20,10,18,8,4,12,9,8,0,24
