"","result.alien","diff.score.at.home"
"1","0",12
"2","0",16
"3","0",-16
"4","1",12
"5","0",-17
"6","1",22
"7","0",-13
"8","1",1
"9","0",-23
"10","1",31
"11","0",-9
"12","1",25
"13","0",-5
"14","1",13
"15","0",5
"16","0",18
"17","0",4
"18","0",12
"19","1",4
"20","0",-32
"21","1",22
"22","0",-14
"23","0",1
"24","0",11
"25","1",12
"26","0",-14
"27","1",17
"28","0",-1
"29","0",3
"30","0",5
"31","0",9
"32","0",2
"33","0",-5
"34","1",7
"35","0",24
"36","0",3
"37","0",12
"38","0",1
"39","1",17
"40","0",-2
"41","1",20
"42","0",-2
"43","1",2
"44","0",-11
"45","0",-22
"46","1",15
"47","0",8
"48","0",2
"49","1",21
"50","0",-1
"51","0",-8
"52","1",7
"53","1",-9
"54","1",-3
"55","1",12
"56","0",-4
"57","1",-3
"58","1",-11
"59","1",21
"60","0",-4
"61","0",-3
"62","1",18
"63","0",-13
"64","1",6
"65","1",26
"66","0",-3
"67","0",-7
"68","1",9
"69","1",3
"70","0",-2
"71","1",24
"72","0",-4
"73","0",-3
"74","1",18
"75","1",21
"76","0",-32
"77","1",20
"78","0",-20
"79","0",-12
"80","1",8
"81","1",-2
"82","1",-2
"83","1",4
"84","0",-2
"85","1",15
"86","0",-9
"87","1",15
"88","0",-16
"89","0",-9
"90","1",6
"91","0",-13
"92","1",10
"93","1",17
"94","0",-6
"95","1",14
"96","0",-18
"97","0",-3
"98","1",6
"99","0",-5
"100","1",4
"101","0",-2
"102","1",14
"103","1",10
"104","0",-3
"105","0",20
"106","0",16
"107","0",6
"108","0",3
"109","0",-9
"110","1",8
"111","0",-17
"112","1",21
"113","0",-2
"114","1",9
"115","1",5
"116","0",-8
"117","1",10
"118","0",-2
"119","1",4
"120","0",-7
"121","0",15
"122","0",3
"123","0",19
"124","0",10
"125","1",18
"126","0",-5
"127","1",-1
"128","1",-9
"129","1",37
"130","0",-19
"131","0",5
"132","0",44
"133","0",11
"134","0",9
"135","0",-6
"136","1",3
"137","0",-5
"138","1",3
"139","0",-16
"140","1",15
"141","0",23
"142","0",11
"143","0",12
"144","0",13
"145","0",24
"146","0",3
"147","0",-23
"148","1",39
"149","1",14
"150","0",-28
"151","0",-18
"152","1",34
"153","0",23
"154","0",2
"155","0",-7
"156","1",22
"157","1",18
"158","0",-6
"159","0",-35
"160","1",4
"161","0",6
"162","0",6
"163","1",3
"164","0",-1
"165","0",18
"166","0",8
"167","0",5
"168","0",19
"169","0",-17
"170","1",42
"171","0",-10
"172","1",13
"173","1",15
"174","0",-2
"175","0",9
"176","0",13
"177","0",-3
"178","1",2
"179","0",8
"180","0",3
"181","1",8
"182","0",-5
"183","0",-4
"184","1",6
"185","1",12
"186","0",-16
"187","0",-7
"188","1",9
"189","0",-12
"190","1",9
"191","0",2
"192","0",24
"193","1",-19
"194","1",-4
"195","0",37
"196","0",21
"197","1",10
"198","0",-18
"199","0",4
"200","0",6
"201","1",-1
"202","1",-14
"203","1",20
"204","0",-4
"205","0",-1
"206","1",15
"207","1",20
"208","0",-4
"209","0",5
"210","0",5
"211","0",-12
"212","1",5
"213","0",-6
"214","1",31
"215","1",-3
"216","1",-5
"217","0",5
"218","0",10
"219","1",-9
"220","1",-5
"221","1",37
"222","0",-24
"223","0",2
"224","0",9
"225","0",1
"226","0",27
"227","0",4
"228","0",6
"229","1",6
"230","0",-3
"231","0",2
"232","0",15
"233","1",-2
"234","1",-9
"235","0",-14
"236","1",10
"237","0",-11
"238","1",29
"239","1",-24
"240","1",-6
"241","1",-1
"242","1",-3
"243","1",-4
"244","1",-23
"245","0",6
"246","0",2
"247","0",-10
"248","1",25
"249","1",-4
"250","1",-11
"251","0",3
"252","0",4
"253","0",-9
"254","1",6
"255","0",-10
"256","1",35
"257","0",-6
"258","1",24
"259","0",-12
"260","1",6
"261","0",18
"262","0",23
"263","1",-1
"264","1",-7
"265","0",-11
"266","1",5
"267","1",12
"268","0",-4
"269","0",-11
"270","1",11
"271","1",2
"272","0",-5
"273","1",1
"274","0",-9
"275","0",-1
"276","1",10
"277","0",27
"278","0",2
"279","0",11
"280","0",10
"281","1",11
"282","0",-9
"283","0",-7
"284","1",20
"285","0",23
"286","0",2
"287","0",-5
"288","1",3
"289","0",-18
"290","1",12
"291","0",5
"292","0",12
"293","0",21
"294","0",2
"295","0",-25
"296","1",5
"297","0",1
"298","0",2
"299","0",-8
"300","1",26
"301","1",18
"302","0",-6
"303","1",3
"304","0",-8
"305","0",-17
"306","1",7
"307","0",22
"308","0",17
"309","0",-14
"310","1",23
"311","0",10
"312","0",5
"313","1",10
"314","0",-1
"315","0",7
"316","0",10
"317","0",19
"318","0",3
"319","0",-7
"320","1",18
"321","0",-12
"322","1",7
"323","0",2
"324","0",20
"325","0",4
"326","0",6
"327","0",19
"328","0",6
"329","0",-10
"330","1",11
"331","1",15
"332","0",-10
"333","1",50
"334","0",-17
"335","1",9
"336","0",-5
"337","1",-5
"338","1",-1
"339","1",4
"340","0",-3
"341","1",8
"342","0",-17
"343","0",-1
"344","1",6
"345","1",8
"346","0",-14
"347","0",-15
"348","1",9
"349","1",9
"350","0",-7
"351","1",-3
"352","1",-7
"353","0",19
"354","0",3
"355","0",13
"356","0",5
"357","0",-6
"358","1",3
"359","0",-12
"360","1",2
"361","1",-2
"362","1",-1
"363","1",-5
"364","1",-11
"365","1",10
"366","0",-4
"367","1",15
"368","0",-11
"369","0",-12
"370","1",6
"371","1",-3
"372","1",-10
"373","1",10
"374","0",-13
"375","1",6
"376","0",-8
"377","1",15
"378","0",-5
"379","0",2
"380","0",3
"381","0",-11
"382","1",17
"383","0",19
"384","0",11
"385","1",20
"386","0",-3
"387","1",21
"388","0",-17
"389","0",1
"390","0",8
"391","0",3
"392","0",6
"393","0",-2
"394","1",10
"395","0",-16
"396","1",6
"397","1",11
"398","0",-18
"399","0",-18
"400","1",4
"401","0",-16
"402","1",8
"403","1",13
"404","0",-3
"405","0",-4
"406","1",5
"407","0",2
"408","0",7
"409","0",10
"410","0",16
"411","0",26
"412","0",7
"413","1",8
"414","0",-1
"415","1",6
"416","0",-2
"417","0",6
"418","0",19
"419","0",-14
"420","1",11
"421","1",2
"422","0",-1
"423","1",11
"424","0",-1
"425","1",25
"426","0",-6
"427","0",-7
"428","1",9
"429","0",27
"430","0",2
"431","0",6
"432","0",10
"433","1",3
"434","0",-2
"435","1",10
"436","0",-14
"437","1",2
"438","0",-6
"439","0",-4
"440","1",21
"441","1",-4
"442","1",-4
"443","0",-4
"444","1",20
"445","0",-4
"446","1",23
"447","1",12
"448","0",-3
"449","0",12
"450","0",17
"451","1",-3
"452","1",-7
"453","1",13
"454","0",-19
"455","0",-13
"456","1",25
"457","0",-6
"458","1",6
"459","1",9
"460","0",-13
"461","0",13
"462","0",3
"463","0",-31
"464","1",4
"465","0",-35
"466","1",21
"467","0",22
"468","0",5
"469","1",14
"470","0",-16
"471","0",2
"472","0",18
"473","1",5
"474","0",-11
"475","0",-3
"476","1",8
"477","0",5
"478","0",12
"479","1",11
"480","0",-11
"481","0",7
"482","0",7
"483","1",-4
"484","1",-3
"485","0",13
"486","0",2
"487","0",-5
"488","1",8
"489","1",3
"490","0",-10
"491","1",10
"492","0",-7
"493","0",19
"494","0",4
"495","0",-10
"496","1",11
"497","0",2
"498","0",19
"499","0",1
"500","0",14
"501","1",6
"502","0",-2
"503","1",-9
"504","1",-3
"505","1",3
"506","0",-29
"507","0",-3
"508","1",24
"509","0",19
"510","0",8
"511","1",7
"512","0",-12
"513","0",7
"514","0",13
"515","0",13
"516","0",2
"517","0",-4
"518","1",7
"519","0",15
"520","0",8
"521","0",-14
"522","1",7
"523","0",4
"524","0",3
"525","0",-3
"526","1",9
"527","1",-15
"528","1",-8
"529","0",-5
"530","1",4
"531","1",-13
"532","1",-11
"533","1",6
"534","0",-2
"535","1",13
"536","0",-1
"537","1",34
"538","0",-6
"539","0",-3
"540","1",14
"541","0",-17
"542","1",2
"543","0",3
"544","0",20
"545","0",-10
"546","1",7
"547","0",-2
"548","1",16
"549","0",-28
"550","1",27
"551","0",2
"552","0",25
"553","0",-6
"554","1",7
"555","0",-5
"556","1",12
"557","1",31
"558","0",-17
"559","0",-12
"560","1",1
"561","0",3
"562","0",9
"563","0",3
